candidate_root=/home/stager/Work/sta-ger/agents/worktrees/pokie-phase-5-post-audit-polishing/task_P5PA-07-20260811051542
fixture_dir=/home/stager/Work/sta-ger/agents/worktrees/pokie-phase-5-post-audit-polishing/task_P5PA-07-20260811051542/docs/phase5-post-audit/evidence/p5pa-07-architecture-sweep/artifacts/conflicting-pokie-init-project

$ node --version 
v24.18.0

$ npm --version 
11.16.0

$ npm pack --ignore-scripts --pack-destination /home/stager/Work/sta-ger/agents/worktrees/pokie-phase-5-post-audit-polishing/task_P5PA-07-20260811051542/docs/phase5-post-audit/evidence/p5pa-07-architecture-sweep/artifacts 
npm notice
npm notice 📦  pokie@1.3.0
npm notice Tarball Contents
npm notice 744B LICENSE
npm notice 15.7kB README.md
npm notice 796B dist/cjs/artifact/buildRoundArtifact.d.ts
npm notice 5.5kB dist/cjs/artifact/buildRoundArtifact.js
npm notice 3.4kB dist/cjs/artifact/buildRoundArtifact.js.map
npm notice 613B dist/cjs/artifact/buildRoundArtifactFromSession.d.ts
npm notice 2.4kB dist/cjs/artifact/buildRoundArtifactFromSession.js
npm notice 1.3kB dist/cjs/artifact/buildRoundArtifactFromSession.js.map
npm notice 299B dist/cjs/artifact/buildRoundStepArtifact.d.ts
npm notice 4.5kB dist/cjs/artifact/buildRoundStepArtifact.js
npm notice 2.8kB dist/cjs/artifact/buildRoundStepArtifact.js.map
npm notice 179B dist/cjs/artifact/computeRoundArtifactHash.d.ts
npm notice 1.3kB dist/cjs/artifact/computeRoundArtifactHash.js
npm notice 468B dist/cjs/artifact/computeRoundArtifactHash.js.map
npm notice 203B dist/cjs/artifact/internal/assertValidFeatureEventInput.d.ts
npm notice 956B dist/cjs/artifact/internal/assertValidFeatureEventInput.js
npm notice 519B dist/cjs/artifact/internal/assertValidFeatureEventInput.js.map
npm notice 169B dist/cjs/artifact/internal/canonicalizeJsonField.d.ts
npm notice 1.7kB dist/cjs/artifact/internal/canonicalizeJsonField.js
npm notice 835B dist/cjs/artifact/internal/canonicalizeJsonField.js.map
npm notice 412B dist/cjs/artifact/PokieJsonRoundArtifactProjector.d.ts
npm notice 1.2kB dist/cjs/artifact/PokieJsonRoundArtifactProjector.js
npm notice 466B dist/cjs/artifact/PokieJsonRoundArtifactProjector.js.map
npm notice 963B dist/cjs/artifact/RoundArtifact.d.ts
npm notice 371B dist/cjs/artifact/RoundArtifact.js
npm notice 193B dist/cjs/artifact/RoundArtifact.js.map
npm notice 161B dist/cjs/artifact/RoundArtifactBuildError.d.ts
npm notice 1.1kB dist/cjs/artifact/RoundArtifactBuildError.js
npm notice 468B dist/cjs/artifact/RoundArtifactBuildError.js.map
npm notice 282B dist/cjs/artifact/RoundArtifactFeatureEvent.d.ts
npm notice 130B dist/cjs/artifact/RoundArtifactFeatureEvent.js
